micrissim	tiny/ so small
monstru	monster
necós	nothing
ni...ni	neither...nor
per	by
permanjar	to eat up
posseder	to own/have
punctu	dot/point
scrite	script
sempre	always
slovacos	slovaks
tost	soon/early
tot	whole/all
*** Decininesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/20/)
altres	others
auxilie	help (noun)
capella	chapel
córpor	body
grimpada	climb (noun)
ínpossibil	impossible
Italia	Italy
misser	to send
morir	to die
morte	death
odore	smell/odor
oldissim	so old
petir	ask for/ demand
polve	dust
quant	how many
scalun	stair
stul	chair
suol	ground/floor
ultim	last/final
vers	towards
*** Duantesim capitul (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/21/)
altricos	something/ some other things
apert	opened
biblioteca	library
che	home
coverte	cover
esperar	to hope
horrore	horror
litt	little
marchar	to march
mey	may
morto	corpse
multissim	so many/ so much
odiar	to hate
pede	foot
pistol	pistol
rubi	red
silentie	silence/quiet
subrider	to smile
terrore	terror
*** Grammatica (capitul 11-20) (/course/5677798/salute-jonathan-un-occidental-interlingue-cursu/22/)
verbe-da	continuing action of the (verb)
re-verber	do the (verb) again
verbe-ntie	-nce, state of the (verb)
nomin-ité	-ity, totality of the (noun)
verb-or	-or, a person/thing who do the (verb)
nomin-arie	a person characterised by the (noun)
verbe-te	a person whom one (verb-ed)
verbe-nte	a person whom one is (verb-ing)
verbe-bil	able to (verb)
adjectiv-itá	-ity, the quality of the (adjective)
adjectiv-ie	-y/-ce, noun of the (adjective)
verb-e	noun of the (verb)
verb-ore	state of the (verb)
ho-nomine	to-, this (noun)
ne-qux	no-, absence/negation pronoun
al-qux	some-, indefinite pronoun
verbe-ment	-ment, concrete action of the (verb) or its result
ín-adjectiv	in-, negation of the (adjective)
per-verber	per-, through/ to the end
adjectiv-e	noun of the (adjective)
nomin-un	single of the (noun)
nomin-iere	containing the (noun)
mey verbe-r	may (verb)
