recompensat|recompensed
cronicat|recorded
narrat|recounted
recrutat|recruited
malodorat|reeked
chancelat|reeled
arbitrat|refereed
rechargeat|refilled
reformat|reformed
refusat|refused
egardat|regarded
regenerat|regenerated
recomandat|registered
regretat|regretted
prevalet|reigned
bridat|reined
recadet|relapsed
releat|relaid
dechargeat|released
juit|relished
dit|remarked
rectificat|remedied
luat|rented
reparat|repaired
abrogat|repealed
replicat|replied
raportat|reported
reposat|reposed
reprimandat|reprimanded
reprintat|reprinted
reprochat|reproached
demandat|requested
requisit|requisitioned
salvat|rescued
reserchat|researched
reservat|reserved
frequentat|resorted
respectat|respected
apoyat|rested
resultat|resulted
ripostat|retorted
retuchat|retouched
electet|returned
venjat|revenged
reversat|reversed
inspectet|reviewed
rebellet|revolted
recompensat|rewarded
rimat|rhymed
ricochettat|ricocheted
perforat|riddled
deriDet|ridiculed
spoliat|rifled
taclat|rigged
erectet|righted
assediat|rang
assediat|ringed
insurectet|rioted
lacerat|ripped
undetteat|rippled
turreat|rose
hasardat|risked
rivalisat|rivalled
rivetat|riveted
muit|roared
grillat|roasted
vestit|robed
balansat|rocked
platrulat|rolled
fabulat|romanced
tegmentat|roofed
inradicat|rooted
putrit|rotted
arondat|rounded
derutat|routed
remat|rowed
frictet|rubbed
desordinat|ruffled
damageat|ruined
guvernat|ruled
rul-sonat|rumbled
meditat|ruminated
curret|ran
ruptet|ruptured
hastat|rushed
sabotat|sabotaged
demisset|sacked
imolat|sacrificed
chargeat|saddled
navigat|sailed
surtit|sallied
insalat|salted
salutat|saluted
salvageat|salvaged
unguentat|salved
mustrat|sampled
exhaustet|sapped
conservat|saved
sapet|savored
segat|sawed
segat|sawed
climbat|scaled
scalpat|scalped
terret|scared
flarat|scented
conspirat|schemed
injuriat|scolded
excavat|scooped
inciset|scored
desestimat|scorned
knutat|scourged
deriDet|scouted
grimpat|scrambled
scrappat|scraped
scriachat|scrawled
criat|screamed
protectet|screened
scruvat|screwed
lav-brossat|scrubbed
interluctat|scuffled
remat|sculled
forcurret|scuttled
falceat|scythed
cludet|sealed
cauterisat|seared
examinat|searched
spiccat|seasoned
sedentat|seated
secundat|seconded
fixat|secured
videt|saw
selectet|selected
perceptet|sensed
condamnat|sentenced
alontat|separated
adaptat|set
afundat|settled
catenat|shackled
nuanciat|shaded
observat|shadowed
sucusset|shook
fictet|shammed
deshonorat|shamed
shampunat|shampooed
format|shaped
distribuet|shared
rasat|shaved
rasat|shaved
tondet|sheared
tondet|sheared
emisset|shed
bombardat|shelled
ductet|shepherded
defenDet|shielded
changeat|shifted
cargat|shipped
frissonat|shivered
chocat|shocked
ferrat|shod
burgeonat|shot
comprat|shopped
apoyat|shored
criat|shouted
pallat|shovelled
exhibit|showed
exhibit|showed
dispezzat|shredded
yellat|shrieked
invelopat|shrouded
frissonat|shuddered
equivocat|shuffled
cludet|shut
cribellat|sieved
sospirat|sighed
mirat|sighted
signat|signed
signalat|signalled
silentiat|silenced
inargentat|silvered
peccat|sinned
selectet|singled
descenDet|sank
descenDet|sunk
sirotat|sipped
sifonat|siphoned
patinat|skated
equissat|sketched
skiat|skied
glissat|skidded
decremat|skimmed
decorticat|skinned
scarmuchat|skirmished
bordat|skirted
calumniat|slandered
clinat|slanted
battet|slapped
cupat|slashed
buchat|slaughtered
bavat|slavered
slittat|sledged
dormit|slept
tranchat|sliced
Past tense error|slid
despectet|slighted
slingat|slung
fendet|slit
bavat|slobbered
declivat|sloped
dormettat|slumbered
Past tense error|slurred
battet|smacked
dolet|smarted
aplastat|smashed
grassat|smeared
aromat|smelled
aromat|smelt
subridet|smiled
fumat|smoked
glattat|smoothed
fractet|snapped
trappat|snared
grunit|snarled
adcaptet|snatched
trahit|sneaked
trahit|snuck
ricanat|sneered
sternutat|sneezed
roncat|snored
sofflat|snorted
niveat|snowed
insaponat|soaped
singlutat|sobbed
assordidat|soiled
sejorneat|sojourned
consolat|solaced
suldat|soldered
resoleat|soled
culbutat|somersaulted
grivat|sorrowed
sortit|sorted
semblat|sounded
semat|sowed
semat|sowed
interspaciat|spaced
mesurat|spanned
boxat|sparred
disponet|spared
scintillat|sparked
ovat|spawned
trapicat|speared
espelat|spelt
